"Name","Sex","Employee ID","Position","Employment Status","Email","Contact","Degree","Major","Minor","Ancillary Assignments","Unavailable Periods","Subject Expertise","Grade Level Assignments"
"Mikaela Joy Valencia","Female","300627-1034","Teacher II","Probationary","mikaela.valencia34@deped-template.edu.ph","09568373876","BSEd","Science","Science","","","Science; TLE; Special Program in the Journalism","Grade 8; Grade 9"
"Dominic Mangubat","Male","300627-1035","Teacher III","Part-Time","dominic.mangubat35@deped-template.edu.ph","09128577752","BSEd","Araling Panlipunan","MAPEH","","","Araling Panlipunan; ESP; English","Grade 9; Grade 10"
"Trisha Mae Cabrera","Female","300627-1036","Master Teacher I","Regular","trisha.cabrera36@deped-template.edu.ph","09989539549","BSEd","MAPEH","Values Education","","","MAPEH; Special Program in the Arts; Mathematics","Grade 10; Grade 7"
"Ariel John Lucero","Male","300627-1037","Teacher I","Regular","ariel.lucero37@deped-template.edu.ph","09059256870","BSEd","TLE","None","","","TLE; Special Program in the Journalism; Filipino","Grade 7; Grade 8"
"Phoebe Anne Abad","Female","300627-1038","Teacher II","Regular","phoebe.abad38@deped-template.edu.ph","09660289796","BSEd","Values Education","English","","","ESP; English; Science","Grade 8; Grade 9"
"Harold Pineda","Male","300627-1039","Teacher III","Probationary","harold.pineda39@deped-template.edu.ph","09440772294","BSEd","ICT","Mathematics","","","Special Program in the Arts; Mathematics; Araling Panlipunan","Grade 9; Grade 10"
"Joanna Marie Catubig","Female","300627-1040","Master Teacher I","Part-Time","joanna.catubig40@deped-template.edu.ph","09487529869","BSEd","General Education","Science","","","Special Program in the Journalism; Filipino; MAPEH","Grade 10; Grade 7"
"Rafael Sarmiento","Male","300627-1041","Teacher I","Regular","rafael.sarmiento41@deped-template.edu.ph","09622094005","BSEd","English","MAPEH","","","English; Science; TLE","Grade 7; Grade 8"
"Ma. Theresa Maliksi","Female","300627-1042","Teacher II","Regular","ma..maliksi42@deped-template.edu.ph","09069584451","BSEd","Mathematics","Values Education","","","Mathematics; Araling Panlipunan; ESP","Grade 8; Grade 9"
"Vincent Paul Bagasao","Male","300627-1043","Teacher III","Regular","vincent.bagasao43@deped-template.edu.ph","09726011586","BSEd","Filipino","None","","","Filipino; MAPEH; Special Program in the Arts","Grade 9; Grade 10"
"Charmaine Del Rosario","Female","300627-1044","Master Teacher I","Probationary","charmaine.del44@deped-template.edu.ph","09872546710","BSEd","Science","English","","","Science; TLE; Special Program in the Journalism","Grade 10; Grade 7"
"Gabriel Manalo","Male","300627-1045","Teacher I","Part-Time","gabriel.manalo45@deped-template.edu.ph","09009570116","BSEd","Araling Panlipunan","Mathematics","","","Araling Panlipunan; ESP; English","Grade 7; Grade 8"
"Roselle Pilar","Female","300627-1046","Teacher II","Regular","roselle.pilar46@deped-template.edu.ph","09261814875","BSEd","MAPEH","Science","","","MAPEH; Special Program in the Arts; Mathematics","Grade 8; Grade 9"
"Christian Montemayor","Male","300627-1047","Teacher III","Regular","christian.montemayor47@deped-template.edu.ph","09566715269","BSEd","TLE","MAPEH","","","TLE; Special Program in the Journalism; Filipino","Grade 9; Grade 10"
"Janine Tabora","Female","300627-1048","Master Teacher I","Regular","janine.tabora48@deped-template.edu.ph","09495292693","BSEd","Values Education","Values Education","","","ESP; English; Science","Grade 10; Grade 7"
"Alvin Yumul","Male","300627-1049","Teacher I","Probationary","alvin.yumul49@deped-template.edu.ph","09216235471","BSEd","ICT","None","","","Special Program in the Arts; Mathematics; Araling Panlipunan","Grade 7; Grade 8"
"Maricel Panganiban","Female","300627-1050","Teacher II","Part-Time","maricel.panganiban50@deped-template.edu.ph","09789365493","BSEd","General Education","English","","","Special Program in the Journalism; Filipino; MAPEH","Grade 8; Grade 9"
"Romeo Arellano","Male","300627-1051","Teacher III","Regular","romeo.arellano51@deped-template.edu.ph","09898755248","BSEd","English","Mathematics","","","English; Science; TLE","Grade 9; Grade 10"
"Bernadette Bitanga","Female","300627-1052","Master Teacher I","Regular","bernadette.bitanga52@deped-template.edu.ph","09022609095","BSEd","Mathematics","Science","","","Mathematics; Araling Panlipunan; ESP","Grade 10; Grade 7"
"Emmanuel Carreon","Male","300627-1053","Teacher I","Regular","emmanuel.carreon53@deped-template.edu.ph","09581319241","BSEd","Filipino","MAPEH","","","Filipino; MAPEH; Special Program in the Arts","Grade 7; Grade 8"
"Lourdes Dizon","Female","300627-1054","Teacher II","Probationary","lourdes.dizon54@deped-template.edu.ph","09495605650","BSEd","Science","Values Education","","","Science; TLE; Special Program in the Journalism","Grade 8; Grade 9"
"Jeric Esguerra","Male","300627-1055","Teacher III","Part-Time","jeric.esguerra55@deped-template.edu.ph","09059294670","BSEd","Araling Panlipunan","None","","","Araling Panlipunan; ESP; English","Grade 9; Grade 10"
"Fatima Fajardo","Female","300627-1056","Master Teacher I","Regular","fatima.fajardo56@deped-template.edu.ph","09231282288","BSEd","MAPEH","English","","","MAPEH; Special Program in the Arts; Mathematics","Grade 10; Grade 7"
"Joshua Galang","Male","300627-1057","Teacher I","Regular","joshua.galang57@deped-template.edu.ph","09251520345","BSEd","TLE","Mathematics","","","TLE; Special Program in the Journalism; Filipino","Grade 7; Grade 8"
"Bianca Hipolito","Female","300627-1058","Teacher II","Regular","bianca.hipolito58@deped-template.edu.ph","09223812472","BSEd","Values Education","Science","","","Oral Communication","Grade 11; Grade 12"
"Cedric Ignacio","Male","300627-1059","Teacher III","Probationary","cedric.ignacio59@deped-template.edu.ph","09609452679","BSEd","ICT","MAPEH","","","Oral Communication","Grade 11; Grade 12"
"Princess Jalandoni","Female","300627-1060","Master Teacher I","Part-Time","princess.jalandoni60@deped-template.edu.ph","09036080326","BSEd","General Education","Values Education","","","Oral Communication","Grade 11; Grade 12"
"Danilo Katigbak","Male","300627-1061","Teacher I","Regular","danilo.katigbak61@deped-template.edu.ph","09359759375","BSEd","English","None","","","Oral Communication","Grade 11; Grade 12"
"Erika Lorenzo","Female","300627-1062","Teacher II","Regular","erika.lorenzo62@deped-template.edu.ph","09145386423","BSEd","Mathematics","English","","","Oral Communication","Grade 11; Grade 12"
"Felix Magsino","Male","300627-1063","Teacher III","Regular","felix.magsino63@deped-template.edu.ph","09650281724","BSEd","Filipino","Mathematics","","","Oral Communication","Grade 11; Grade 12"
"Giselle Noblejas","Female","300627-1064","Master Teacher I","Probationary","giselle.noblejas64@deped-template.edu.ph","09619430260","BSEd","Science","Science","","","Oral Communication","Grade 11; Grade 12"
"Hector Ortega","Male","300627-1065","Teacher I","Part-Time","hector.ortega65@deped-template.edu.ph","09656918208","BSEd","Araling Panlipunan","MAPEH","","","Oral Communication","Grade 11; Grade 12"
"Ivy Palanca","Female","300627-1066","Teacher II","Regular","ivy.palanca66@deped-template.edu.ph","09940971278","BSEd","MAPEH","Values Education","","","Oral Communication","Grade 11; Grade 12"
"Julio Quirino","Male","300627-1067","Teacher III","Regular","julio.quirino67@deped-template.edu.ph","09253303704","BSEd","TLE","None","","","Oral Communication","Grade 11; Grade 12"
"Krizia Roces","Female","300627-1068","Master Teacher I","Regular","krizia.roces68@deped-template.edu.ph","09545698450","BSEd","Values Education","English","","","Oral Communication","Grade 11; Grade 12"
